Periodo;Receita;Volume; Vacinas 
jan/19;115,7;92,6; -   
fev/19;107,7;85,6; -   
mar/19;115,1;90,3; -   
abr/19;115,1;89,5; -   
mai/19;119;92,7; -   
jun/19;114,9;89,7; -   
jul/19;118,2;92,8; -   
ago/19;121,1;95,2; -   
set/19;115,8;91,4; -   
out/19;122,8;96,6; -   
nov/19;132,9;104,9; -   
dez/19;158,9;123,5; -   
jan/20;122,3;93,9; -   
fev/20;117,1;89,6; -   
mar/20;118,2;89,3; -   
abr/20;99;74,2; -   
mai/20;112,7;85,9; -   
jun/20;118;90,2; -   
jul/20;128,6;97,9; -   
ago/20;133,4;101,1; -   
set/20;131,3;98; -   
out/20;142,5;104,7; -   
nov/20;148,4;108,6; -   
dez/20;173,6;125,1; -   
jan/21;132,9;93,6; 3.078.748 
fev/21;124,1;86,1; 6.724.992 
mar/21;134,4;91,3; 16.963.766 
abr/21;134,6;91,7; 23.479.025 
mai/21;146,2;99,6; 21.257.718 
jun/21;141,9;95,9; 30.834.995 
jul/21;153,9;103,5; 39.997.523 
;;;
;;;
;;;
;;;
;;;
